0,0,-1.0000000000000000e+00
198,0,1.0000000000000000e+00
1,1,-1.0000000000000000e+00
199,1,1.0000000000000000e+00
0,2,4.2937080916509746e-02
1,2,-4.3675718622346114e-02
200,2,-7.1311108751272934e-01
0,3,-4.3675718622346121e-02
1,3,4.4427062959579822e-02
200,3,-7.0105105154076497e-01
0,4,-2.9106575000519531e-03
1,4,-2.8614328634316904e-03
0,5,1.0000000000000000e+00
2,5,-1.0000000000000000e+00
1,6,1.0000000000000000e+00
3,6,-1.0000000000000000e+00
2,7,4.3395930752394986e-02
3,7,-4.3681150906016160e-02
201,7,-7.0941909711876738e-01
2,8,-4.3681150906016160e-02
3,8,4.3968245671717782e-02
201,8,-7.0478687888126357e-01
2,9,-2.8955881515051697e-03
3,9,-2.8766811382908682e-03
2,10,1.0000000000000000e+00
4,10,-1.0000000000000000e+00
3,11,1.0000000000000000e+00
5,11,-1.0000000000000000e+00
4,12,4.4298380340175289e-02
5,12,-4.3677711546249845e-02
202,12,-7.0210069073743375e-01
4,13,-4.3677711546249845e-02
5,13,4.3065739001460226e-02
202,13,-7.1207767839331859e-01
4,14,-2.8657171050507466e-03
5,14,-2.9064395036461949e-03
4,15,1.0000000000000000e+00
6,15,-1.0000000000000000e+00
5,16,1.0000000000000000e+00
7,16,-1.0000000000000000e+00
6,17,4.4316014327592107e-02
7,17,-4.3677460856541707e-02
203,17,-7.0195694642178064e-01
6,18,-4.3677460856541707e-02
7,18,4.3048108360388915e-02
203,18,-7.1221938008608643e-01
6,19,-2.8651303935582849e-03
7,19,-2.9070178779023901e-03
6,20,1.0000000000000000e+00
8,20,-1.0000000000000000e+00
7,21,1.0000000000000000e+00
9,21,-1.0000000000000000e+00
8,22,4.3339819947801478e-02
9,22,-4.3680742078583086e-02
204,22,-7.0987157931364198e-01
8,23,-4.3680742078583093e-02
9,23,4.4024345990216533e-02
204,23,-7.0433113013891102e-01
8,24,-2.8974350176066985e-03
9,24,-2.8748209393424907e-03
8,25,1.0000000000000000e+00
10,25,-1.0000000000000000e+00
9,26,1.0000000000000000e+00
11,26,-1.0000000000000000e+00
10,27,4.4220898290182831e-02
11,27,-4.3678741014736407e-02
205,27,-7.0273204156016900e-01
10,28,-4.3678741014736400e-02
11,28,4.3143230698593937e-02
205,28,-7.1145462101575874e-01
10,29,-2.8682940471843597e-03
11,29,-2.9038964123092158e-03
10,30,1.0000000000000000e+00
12,30,-1.0000000000000000e+00
11,31,1.0000000000000000e+00
13,31,-1.0000000000000000e+00
12,32,4.3440264506182241e-02
13,32,-4.3681422949254256e-02
206,32,-7.0906138183421330e-01
12,33,-4.3681422949254256e-02
13,33,4.3923920182394105e-02
206,33,-7.0514676259014053e-01
12,34,-2.8941280891192347e-03
13,34,-2.8781500513883253e-03
12,35,1.0000000000000000e+00
14,35,-1.0000000000000000e+00
13,36,1.0000000000000000e+00
15,36,-1.0000000000000000e+00
14,37,4.2696853643349283e-02
15,37,-4.3670981444633002e-02
207,37,-7.1503663653130989e-01
14,38,-4.3670981444632995e-02
15,38,4.4667333950836649e-02
207,38,-6.9908698201153152e-01
14,39,-2.9185168838012612e-03
15,39,-2.8534162531082883e-03
14,40,1.0000000000000000e+00
16,40,-1.0000000000000000e+00
