0,0,2.0000000000000000e-02
1,1,2.0000000000000000e-02
4,4,2.0000000000000001e-04
5,5,2.0000000000000000e-02
6,6,2.0000000000000000e-02
9,9,2.0000000000000001e-04
10,10,2.0000000000000000e-02
11,11,2.0000000000000000e-02
14,14,2.0000000000000001e-04
15,15,2.0000000000000000e-02
16,16,2.0000000000000000e-02
19,19,2.0000000000000001e-04
20,20,2.0000000000000000e-02
21,21,2.0000000000000000e-02
24,24,2.0000000000000001e-04
25,25,2.0000000000000000e-02
26,26,2.0000000000000000e-02
29,29,2.0000000000000001e-04
30,30,2.0000000000000000e-02
31,31,2.0000000000000000e-02
34,34,2.0000000000000001e-04
35,35,2.0000000000000000e-02
36,36,2.0000000000000000e-02
39,39,2.0000000000000001e-04
40,40,2.0000000000000000e-02
41,41,2.0000000000000000e-02
44,44,2.0000000000000001e-04
45,45,2.0000000000000000e-02
46,46,2.0000000000000000e-02
49,49,2.0000000000000001e-04
50,50,2.0000000000000000e-02
51,51,2.0000000000000000e-02
54,54,2.0000000000000001e-04
55,55,2.0000000000000000e-02
56,56,2.0000000000000000e-02
59,59,2.0000000000000001e-04
60,60,2.0000000000000000e-02
61,61,2.0000000000000000e-02
64,64,2.0000000000000001e-04
65,65,2.0000000000000000e-02
66,66,2.0000000000000000e-02
69,69,2.0000000000000001e-04
70,70,2.0000000000000000e-02
71,71,2.0000000000000000e-02
74,74,2.0000000000000001e-04
75,75,2.0000000000000000e-02
76,76,2.0000000000000000e-02
79,79,2.0000000000000001e-04
80,80,2.0000000000000000e-02
81,81,2.0000000000000000e-02
84,84,2.0000000000000001e-04
85,85,2.0000000000000000e-02
86,86,2.0000000000000000e-02
89,89,2.0000000000000001e-04
90,90,2.0000000000000000e-02
91,91,2.0000000000000000e-02
94,94,2.0000000000000001e-04
95,95,2.0000000000000000e-02
96,96,2.0000000000000000e-02
99,99,2.0000000000000001e-04
100,100,2.0000000000000000e-02
101,101,2.0000000000000000e-02
104,104,2.0000000000000001e-04
105,105,2.0000000000000000e-02
106,106,2.0000000000000000e-02
109,109,2.0000000000000001e-04
110,110,2.0000000000000000e-02
111,111,2.0000000000000000e-02
114,114,2.0000000000000001e-04
115,115,2.0000000000000000e-02
116,116,2.0000000000000000e-02
119,119,2.0000000000000001e-04
120,120,2.0000000000000000e-02
121,121,2.0000000000000000e-02
124,124,2.0000000000000001e-04
125,125,2.0000000000000000e-02
126,126,2.0000000000000000e-02
129,129,2.0000000000000001e-04
130,130,2.0000000000000000e-02
131,131,2.0000000000000000e-02
134,134,2.0000000000000001e-04
135,135,2.0000000000000000e-02
136,136,2.0000000000000000e-02
139,139,2.0000000000000001e-04
140,140,2.0000000000000000e-02
141,141,2.0000000000000000e-02
144,144,2.0000000000000001e-04
145,145,2.0000000000000000e-02
146,146,2.0000000000000000e-02
149,149,2.0000000000000001e-04
150,150,2.0000000000000000e-02
151,151,2.0000000000000000e-02
154,154,2.0000000000000001e-04
155,155,2.0000000000000000e-02
156,156,2.0000000000000000e-02
