x,y,d,nx,ny
-0.70676691729323315,-0.41203007518796997,0.75353422009023641,-0.87326396086707303,-0.48724742652039865
-0.70075187969924813,-0.41203007518796997,0.74828716841186949,-0.87137420653380049,-0.49061898881676969
-0.69473684210526321,-0.41203007518796997,0.74305160225702205,-0.86944485629328494,-0.49403000097681227
-0.68872180451127818,-0.41203007518796997,0.73782776285728369,-0.86747488757748659,-0.49748097393008617
-0.68270676691729326,-0.41203007518796997,0.73261589768390223,-0.86546324812415809,-0.5009724205446664
-0.67669172932330823,-0.41203007518796997,0.72741626062901033,-0.86340885510350529,-0.5045048552084056
-0.67067669172932332,-0.41203007518796997,0.7222291121921679,-0.86131059422451284,-0.50807879337423301
-0.6646616541353384,-0.41203007518796997,0.71705471967233958,-0.85916731882112884,-0.5116947510671892
-0.65864661654135337,-0.41203007518796997,0.71189335736543002,-0.85697784891859563,-0.51535324435076235
-0.65263157894736845,-0.41203007518796997,0.70674530676749292,-0.85474097028031426,-0.51905478874996147
-0.64661654135338342,-0.41203007518796997,0.70161085678372992,-0.8524554334357336,-0.52279989862842891
-0.64060150375939851,-0.41203007518796997,0.69649030394339262,-0.85011995268988538,-0.52658908651675163
-0.63458646616541359,-0.41203007518796997,0.69138395262069519,-0.84773320511531225,-0.53042286238898106
-0.62857142857142856,-0.41203007518796997,0.68629211526183953,-0.84529382952728838,-0.53430173288423055
-0.62255639097744364,-0.41203007518796997,0.6812151126182544,-0.84280042544339873,-0.53822620047004954
-0.61654135338345861,-0.41203007518796997,0.67615327398613101,-0.84025155202871404,-0.54219676254413141
-0.61052631578947369,-0.41203007518796997,0.67110693745234717,-0.83764572702800133,-0.54621391047073409
-0.60451127819548878,-0.41203007518796997,0.66607645014684336,-0.83498142568662714,-0.55027812854803482
-0.59849624060150375,-0.41203007518796997,0.66106216850151978,-0.83225707966204143,-0.55438989290246854
-0.59248120300751883,-0.41203007518796997,0.65606445851569906,-0.82947107592799019,-0.55854967030592928
-0.5864661654135338,-0.41203007518796997,0.6510836960281946,-0.82662175567388962,-0.56275791691154053
-0.58045112781954888,-0.41203007518796997,0.64612026699600167,-0.82370741320209373,-0.56701507690352926
-0.57443609022556397,-0.41203007518796997,0.64117456777961535,-0.8207262948261278,-0.57132158105656738
-0.56842105263157894,-0.41203007518796997,0.63624700543495638,-0.81767659777331481,-0.57567784519977572
-0.56240601503759402,-0.41203007518796997,0.63133799801186885,-0.8145564690956193,-0.58008426858041717
-0.55639097744360899,-0.41203007518796997,0.62644797485911963,-0.81136400459295133,-0.58454123212215692
-0.55037593984962407,-0.41203007518796997,0.62157737693581527,-0.80809724775363401,-0.58904909657260474
-0.54436090225563916,-0.41203007518796997,0.61672665712910857,-0.80475418871722804,-0.59360820053472663
-0.53834586466165413,-0.41203007518796997,0.61189628057804279,-0.80133276326543268,-0.59821885837658617
-0.53233082706766921,-0.41203007518796997,0.60708672500334249,-0.79783085184735381,-0.60288135801376852
-0.52631578947368418,-0.41203007518796997,0.60229848104291794,-0.79424627864602093,-0.60759595855876747
-0.52030075187969926,-0.41203007518796997,0.59753205259281184,-0.79057681069367747,-0.61236288783156445
-0.51428571428571435,-0.41203007518796997,0.59278795715326815,-0.78682015704403829,-0.61718233972562353
-0.50827067669172932,-0.41203007518796997,0.58806672617955769,-0.78297396801039643,-0.62205447142356818
-0.5022556390977444,-0.41203007518796997,0.58336890543714492,-0.77903583447918745,-0.6269794004569178
-0.49624060150375937,-0.41203007518796997,0.57869505536073385,-0.77500328730934598,-0.63195720160443403
-0.49022556390977445,-0.41203007518796997,0.57404575141668535,-0.77087379682853785,-0.63698790362388691
-0.48421052631578954,-0.41203007518796997,0.56942158446825364,-0.76664477243811524,-0.64207148581237472
-0.47819548872180451,-0.41203007518796997,0.56482316114306019,-0.76231356233947178,-0.64720787439068139
-0.47218045112781959,-0.41203007518796997,0.5602511042021856,-0.75787745339543433,-0.65239693870744919
-0.46616541353383456,-0.41203007518796997,0.55570605291022246,-0.75333367114160865,-0.65763848725900054
-0.46015037593984964,-0.41203007518796997,0.55118866340558115,-0.74867937996442546,-0.66293226352025092
-0.45413533834586473,-0.41203007518796997,0.54669960907020698,-0.74391168346530157,-0.6682779415810618
-0.4481203007518797,-0.41203007518796997,0.54223958089765678,-0.73902762503404218,-0.67367512158053089
-0.44210526315789478,-0.41203007518796997,0.53780928785809301,-0.73402418865901142,-0.67912332492963301
-0.43609022556390975,-0.41203007518796997,0.53340945725820854,-0.72889830000551536,-0.68462198931167084
-0.43007518796992483,-0.41203007518796997,0.52904083509345401,-0.72364682779498746,-0.69017046345250954
-0.42406015037593991,-0.41203007518796997,0.52470418638940741,-0.71826658551331335,-0.69576800166078789
-0.41804511278195489,-0.41203007518796997,0.5204002955290099,-0.71275433346622041,-0.7014137581521509
-0.41203007518796997,-0.41203007518796997,0.51612996656293608,-0.70710678118654746,-0.70710678118654746
-0.40601503759398494,-0.41203007518796997,0.51189402350151392,-0.70132059019041548,-0.71284600705549817
-0.40000000000000002,-0.41203007518796997,0.50769331058790834,-0.69539237708491353,-0.71863025394996649
-0.3939849624060151,-0.41203007518796997,0.50352869255300214,-0.68931871704997361,-0.72445821572025704
-0.38796992481203008,-0.41203007518796997,0.49940105485208297,-0.68309614774266014,-0.73032845551788395
-0.38195488721804516,-0.41203007518796997,0.49531130388213301,-0.67672117368966012,-0.73623939929895676
-0.37593984962406013,-0.41203007518796997,0.49126036717685923,-0.67019027123528152,-0.74218932917523117
-0.36992481203007521,-0.41203007518796997,0.4872491935752955,-0.66349989410028676,-0.74817637661777869
-0.36390977443609029,-0.41203007518796997,0.48327875335924003,-0.656646479590691,-0.75419851553894768
-0.35789473684210527,-0.41203007518796997,0.47935003835491763,-0.64962645548378373,-0.76025355529295324
-0.35187969924812035,-0.41203007518796997,0.47546406199475311,-0.64243624761433549,-0.76633913364202688
-0.34586466165413532,-0.41203007518796997,0.47162185933571482,-0.63507228818572048,-0.77245270973604152
-0.3398496240601504,-0.41203007518796997,0.46782448703115098,-0.6275310248353223,-0.77859155715248429
-0.33383458646616548,-0.41203007518796997,0.46407302325336264,-0.61980893048835095,-0.78475275704318903
-0.32781954887218046,-0.41203007518796997,0.46036856756439148,-0.6119025140378811,-0.79093319143535801
-0.32180451127819554,-0.41203007518796997,0.45671224073272526,-0.60380833189135708,-0.79712953673702047
