x,y,d,nx,ny
-1.2,-1.2,1.5597770542341354,-0.70710678118654757,-0.70710678118654757
-1.193984962406015,-1.2,1.5555295580788662,-0.70518308434927668,-0.70902525875150657
-1.1879699248120301,-1.2,1.5512936801869579,-0.70324368742756538,-0.71094888430412562
-1.181954887218045,-1.2,1.5470695153779657,-0.70128846299645264,-0.71287761338680922
-1.1759398496240601,-1.2,1.5428571592395501,-0.69931728308858476,-0.71481140000254639
-1.1699248120300751,-1.2,1.5386567081306926,-0.69733001920974436,-0.71675019658800077
-1.1639097744360902,-1.2,1.5344682591848153,-0.6953265423550431,-0.71869395398638247
-1.1578947368421053,-1.2,1.5302919103128045,-0.69330672302579044,-0.72064262142010449
-1.1518796992481202,-1.2,1.5261277602059269,-0.69127043124705256,-0.72259614646323289
-1.1458646616541353,-1.2,1.5219759083386399,-0.68921753658592033,-0.72455447501373949
-1.1398496240601503,-1.2,1.5178364549712899,-0.68714790817049742,-0.72651755126556283
-1.1338345864661654,-1.2,1.5137095011526933,-0.68506141470962778,-0.72848531768048941
-1.1278195488721805,-1.2,1.5095951487225985,-0.68295792451337578,-0.73045771495986134
-1.1218045112781954,-1.2,1.5054935003140182,-0.68083730551427635,-0.73243468201612349
-1.1157894736842104,-1.2,1.5014046593554384,-0.67869942528936889,-0.73441615594421705
-1.1097744360902255,-1.2,1.4973287300728853,-0.67654415108303245,-0.73640207199283403
-1.1037593984962406,-1.2,1.4932658174918563,-0.67437134983063796,-0.73839236353554161
-1.0977443609022557,-1.2,1.4892160274391064,-0.67218088818303223,-0.74038696204178944
-1.0917293233082705,-1.2,1.4851794665442826,-0.66997263253187034,-0.74238579704781216
-1.0857142857142856,-1.2,1.4811562422414057,-0.66774644903581337,-0.7443887961274418
-1.0796992481203007,-1.2,1.47714646277019,-0.66550220364760382,-0.74639588486284092
-1.0736842105263158,-1.2,1.4731502371771987,-0.66323976214204028,-0.74840698681517537
-1.0676691729323309,-1.2,1.4691676753168275,-0.66095899014486037,-0.75042202349523734
-1.0616541353383457,-1.2,1.4651988878521118,-0.65865975316255376,-0.75244091433403859
-1.0556390977443608,-1.2,1.4612439862553537,-0.6563419166131168,-0.75446357665338648
-1.0496240601503759,-1.2,1.457303082808556,-0.65400534585776604,-0.75648992563646467
-1.043609022556391,-1.2,1.4533762906036696,-0.65164990623362495,-0.75851987429843126
-1.0375939849624061,-1.2,1.4494637235426349,-0.64927546308740058,-0.76055333345705722
-1.0315789473684209,-1.2,1.445565496337222,-0.64688188181006334,-0.76259021170342289
-1.025563909774436,-1.2,1.4416817245086573,-0.64446902787254645,-0.76463041537269172
-1.0195488721804511,-1.2,1.4378125243870314,-0.64203676686247724,-0.76667384851498421
-1.0135338345864662,-1.2,1.4339580131104859,-0.63958496452195734,-0.76872041286637272
-1.0075187969924813,-1.2,1.4301183086241664,-0.637113486786404,-0.77077000782001803
-1.0015037593984961,-1.2,1.4262935296789412,-0.63462219982446577,-0.77282253039747484
-0.9954887218045112,-1.2,1.4224837958298751,-0.63211097007902839,-0.7748778752201857
-0.98947368421052628,-1.2,1.418689227434454,-0.62957966430932066,-0.77693593448119203
-0.98345864661654137,-1.2,1.4149099456505527,-0.62702814963413456,-0.77899659791708553
-0.97744360902255634,-1.2,1.4111460724341391,-0.62445629357617183,-0.78105975278022743
-0.97142857142857142,-1.2,1.4073977305367087,-0.62186396410752809,-0.78312528381126301
-0.96541353383458639,-1.2,1.4036650435024409,-0.61925102969632484,-0.78519307321195941
-0.95939849624060147,-1.2,1.3999481356650743,-0.61661735935450224,-0.78726300061839616
