x,y,d,nx,ny
-1.2,-1.2,3.1195541084682707,-0.70710678118654757,-0.70710678118654757
-1.193984962406015,-1.2,3.1110591161577328,-0.70518308434927668,-0.70902525875150657
-1.1879699248120301,-1.2,3.1025873603739162,-0.70324368742756527,-0.71094888430412562
-1.181954887218045,-1.2,3.0941390307559318,-0.70128846299645264,-0.71287761338680922
-1.1759398496240601,-1.2,3.0857143184791007,-0.69931728308858476,-0.71481140000254628
-1.1699248120300751,-1.2,3.0773134162613851,-0.69733001920974436,-0.71675019658800065
-1.1639097744360902,-1.2,3.0689365183696311,-0.6953265423550431,-0.71869395398638247
-1.1578947368421053,-1.2,3.0605838206256091,-0.69330672302579033,-0.72064262142010449
-1.1518796992481202,-1.2,3.0522555204118547,-0.69127043124705256,-0.72259614646323289
-1.1458646616541353,-1.2,3.0439518166772803,-0.68921753658592033,-0.72455447501373949
-1.1398496240601503,-1.2,3.0356729099425803,-0.68714790817049753,-0.72651755126556272
-1.1338345864661654,-1.2,3.0274190023053871,-0.68506141470962778,-0.7284853176804893
-1.1278195488721805,-1.2,3.0191902974451965,-0.68295792451337578,-0.73045771495986134
-1.1218045112781954,-1.2,3.0109870006280377,-0.68083730551427635,-0.73243468201612349
-1.1157894736842104,-1.2,3.0028093187108769,-0.67869942528936877,-0.73441615594421705
-1.1097744360902255,-1.2,2.9946574601457714,-0.67654415108303234,-0.73640207199283403
-1.1037593984962406,-1.2,2.9865316349837125,-0.67437134983063785,-0.73839236353554161
-1.0977443609022557,-1.2,2.9784320548782133,-0.67218088818303201,-0.74038696204178933
-1.0917293233082705,-1.2,2.9703589330885656,-0.66997263253187034,-0.74238579704781216
-1.0857142857142856,-1.2,2.9623124844828119,-0.66774644903581326,-0.7443887961274418
-1.0796992481203007,-1.2,2.95429292554038,-0.66550220364760382,-0.74639588486284092
-1.0736842105263158,-1.2,2.9463004743543979,-0.66323976214204028,-0.74840698681517526
-1.0676691729323309,-1.2,2.9383353506336549,-0.66095899014486026,-0.75042202349523723
-1.0616541353383457,-1.2,2.9303977757042241,-0.65865975316255365,-0.75244091433403859
-1.0556390977443608,-1.2,2.9224879725107078,-0.6563419166131168,-0.75446357665338637
-1.0496240601503759,-1.2,2.9146061656171121,-0.65400534585776604,-0.75648992563646467
-1.043609022556391,-1.2,2.9067525812073391,-0.65164990623362484,-0.75851987429843115
-1.0375939849624061,-1.2,2.8989274470852702,-0.64927546308740058,-0.76055333345705722
-1.0315789473684209,-1.2,2.891130992674444,-0.64688188181006323,-0.76259021170342289
-1.025563909774436,-1.2,2.883363449017315,-0.64446902787254645,-0.76463041537269161
-1.0195488721804511,-1.2,2.8756250487740629,-0.64203676686247735,-0.76667384851498421
-1.0135338345864662,-1.2,2.8679160262209717,-0.63958496452195734,-0.76872041286637272
-1.0075187969924813,-1.2,2.8602366172483329,-0.63711348678640412,-0.77077000782001803
-1.0015037593984961,-1.2,2.8525870593578824,-0.63462219982446577,-0.77282253039747473
-0.9954887218045112,-1.2,2.8449675916597505,-0.63211097007902839,-0.7748778752201857
-0.98947368421052628,-1.2,2.8373784548689081,-0.62957966430932066,-0.77693593448119203
-0.98345864661654137,-1.2,2.8298198913011055,-0.62702814963413456,-0.77899659791708542
-0.97744360902255634,-1.2,2.8222921448682778,-0.62445629357617172,-0.78105975278022743
