i,cx,cy,jac_nx_raw,jac_ny_raw,jac_nx,jac_ny,sdf_nx,sdf_ny,dot,angle_deg
0,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
1,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
2,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
3,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
4,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
5,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
6,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
7,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
8,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
9,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
10,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
11,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
12,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
13,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
14,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
15,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
16,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
17,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
18,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
19,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
20,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
21,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
22,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
23,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
24,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
25,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
26,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
27,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
28,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
29,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
30,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
31,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
32,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
33,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
34,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
35,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
36,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
37,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
38,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
39,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
40,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
41,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
42,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
43,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
44,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
45,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
