i,cx,cy,d,nx,ny,ddcx,ddcy,dnxcx,dnxcy,dnycx,dnycy
13,2.3823480786478362,-3.29191069944281,3.9976823375482038,0.58446450625645752,-0.81141927566850147,0.58446450625645752,-0.81141927566850147,65.840124092639527,47.424576632056308,47.424576632056308,34.159875907360437
14,2.3824501798501854,-3.2912816725514462,3.9972316328544188,0.58455572187166494,-0.81135356536290448,0.58455572187166494,-0.81135356536290448,65.829460802709676,47.428136909386168,47.428136909386168,34.170539197290303
15,2.3825475613851737,-3.2906691552120773,3.9967916134981145,0.58464422095064272,-0.81128979711877069,0.58464422095064272,-0.81128979711877069,65.8191134909016,47.431589140170864,47.431589140170864,34.180886509098386
16,2.3826755879049384,-3.2900482181113859,3.9963627307340444,0.58473876315131224,-0.81122165828352588,0.58473876315131224,-0.81122165828352588,65.808057886827356,47.435274910626539,47.435274910626539,34.191942113172637
17,2.3828012406967543,-3.2894421947692329,3.9959446115188539,0.58483116165914262,-0.81115504828141072,0.58483116165914262,-0.81115504828141072,65.797251235241788,47.438874917209532,47.438874917209532,34.202748764758226
18,2.3829593433554468,-3.2888265136930666,3.9955376918325998,0.58493004525529857,-0.81108374546506257,0.58493004525529857,-0.81108374546506257,65.785684215763425,47.442725194071613,47.442725194071613,34.214315784236561
19,2.3831163932601926,-3.288224833925689,3.9951415710429297,0.5850271087046871,-0.81101373729464932,0.5850271087046871,-0.81101373729464932,65.774328208063409,47.446502184927134,47.446502184927134,34.225671791936549
20,2.3833067753214876,-3.2876128697518547,3.9947566711406415,0.58513087504366745,-0.81093887505201778,0.58513087504366745,-0.81093887505201778,65.762185907063198,47.450537356611449,47.450537356611449,34.237814092936794
21,2.3834966093545749,-3.2870145425209865,3.9943825738057495,0.58523294569412854,-0.81086521646582754,0.58523294569412854,-0.81086521646582754,65.750239927417326,47.454503919320345,47.454503919320345,34.249760072582667
22,2.3837199386030781,-3.2864057766345343,3.9940196824156216,0.58534176265315319,-0.81078666793065846,0.58534176265315319,-0.81078666793065846,65.737502089409958,47.458729734220839,47.458729734220839,34.262497910590014
23,2.3839425594302432,-3.2858106887193785,3.9936675372604764,0.58544885098878474,-0.81070934549683815,0.58544885098878474,-0.81070934549683815,65.724964287591163,47.462885480699363,47.462885480699363,34.27503571240883
24,2.3841982118164666,-3.2852053452273093,3.9933264904296051,0.58556258586965915,-0.81062720040079972,0.58556258586965915,-0.81062720040079972,65.711645802963801,47.46729596429747,47.46729596429747,34.288354197036163
25,2.3844523992450157,-3.2846139995506873,3.9929960102910451,0.58567442815776338,-0.81054639854981592,0.58567442815776338,-0.81054639854981592,65.698546420207691,47.471629846599797,47.471629846599797,34.301453579792295
26,2.3847386066048899,-3.2840128000083326,3.9926763771158598,0.58579270110625292,-0.81046092523368474,0.58579270110625292,-0.81046092523368474,65.684691133064021,47.476209453371311,47.476209453371311,34.315308866935965
27,2.3850221199070005,-3.2834260850569197,3.9923669886806712,0.58590882009048539,-0.81037698297778382,0.58590882009048539,-0.81037698297778382,65.671085454017515,47.480702192500068,47.480702192500068,34.328914545982471
28,2.385336271863431,-3.2828300326079907,3.9920680714478856,0.586031079430122,-0.81028857448563729,0.586031079430122,-0.81028857448563729,65.656757394196603,47.485428795571281,47.485428795571281,34.343242605803383
29,2.385646248407304,-3.2822490250059277,3.9917789872529381,0.58615087336882066,-0.81020192152880566,0.58615087336882066,-0.81020192152880566,65.642715364896873,47.490056390920614,47.490056390920614,34.357284635103099
30,2.3859853450348876,-3.2816592301897947,3.9914999442450521,0.58627649074664578,-0.81011102720417183,0.58627649074664578,-0.81011102720417183,65.627987639779818,47.494905014442232,47.494905014442232,34.372012360220161
31,2.3863187432438231,-3.2810850483154872,3.9912303027083409,0.58639932364194436,-0.81002211897717358,0.58639932364194436,-0.81002211897717358,65.613583323227019,47.499642270322916,47.499642270322916,34.386416676772967
32,2.3866797732055627,-3.2805026126992218,3.9909702749311444,0.5865276700277281,-0.80992918967761895,0.5865276700277281,-0.80992918967761895,65.59852922918445,47.504588050905973,47.504588050905973,34.401470770815557
33,2.3870336548578677,-3.2799363300149409,3.9907192352858463,0.58665292834281468,-0.80983846640351698,0.58665292834281468,-0.80983846640351698,65.583834166680035,47.509410780027736,47.509410780027736,34.416165833319965
34,2.3874137775003255,-3.279362286404353,3.9904774046827445,0.58678341108802878,-0.80974392771535952,0.58678341108802878,-0.80974392771535952,65.56852284718974,47.514430401263688,47.514430401263688,34.431477152810267
35,2.3877854045090299,-3.2788048942730343,3.9902441736464782,0.58691052410655076,-0.80965179966018352,0.58691052410655076,-0.80965179966018352,65.553603669297388,47.519316208237036,47.519316208237036,34.446396330702598
36,2.3881819841792793,-3.2782401871355851,3.9900197675016615,0.58704259495345201,-0.80955604605877507,0.58704259495345201,-0.80955604605877507,65.538099171031732,47.524388203859964,47.524388203859964,34.461900828968254
37,2.3885688135655903,-3.2776925880944576,3.9898035910597751,0.58717103480156663,-0.80946289346087841,0.58717103480156663,-0.80946289346087841,65.523017589005732,47.529316478689424,47.529316478689424,34.47698241099426
38,2.388979393600541,-3.2771380754338799,3.9895958684576787,0.58730418543670337,-0.80936629147038885,0.58730418543670337,-0.80936629147038885,65.507379376853024,47.534421053194215,47.534421053194215,34.492620623146955
39,2.3893790431506079,-3.2766010904238203,3.9893960177666741,0.58743346063102264,-0.80927246915427742,0.58743346063102264,-0.80927246915427742,65.492192933106068,47.539372714870971,47.539372714870971,34.507807066893918
40,2.3898013107332234,-3.2760575538175152,3.9892042572920654,0.58756721576514759,-0.80917536230287723,0.58756721576514759,-0.80917536230287723,65.476476695799263,47.544491469405614,47.544491469405614,34.523523304200729
41,2.3902115267730593,-3.2755319334511115,3.9890200190745291,0.5876968646225873,-0.80908120439964515,0.5876968646225873,-0.80908120439964515,65.461239531278025,47.549448705073814,47.549448705073814,34.538760468721961
42,2.3906432851136681,-3.2750000893629254,3.9888435118204009,0.58783077611446233,-0.80898391742522857,0.58783077611446233,-0.80898391742522857,65.445497865266887,47.554564404419018,47.554564404419018,34.554502134733099
43,2.3910619191287457,-3.274486524793252,3.9886741836071704,0.58796036165364007,-0.8088897410179714,0.58796036165364007,-0.8088897410179714,65.430261312412071,47.559510466684571,47.559510466684571,34.569738687587915
44,2.3915010681491715,-3.2739670345497958,3.9885122300752682,0.58809400418037661,-0.80879258295751655,0.58809400418037661,-0.80879258295751655,65.414544224709118,47.564606866287534,47.564606866287534,34.585455775290875
45,2.3919260607551789,-3.2734661665940927,3.9883571183384898,0.58822311042904485,-0.80869869071068723,0.58822311042904485,-0.80869869071068723,65.399357235717972,47.569525924973654,47.569525924973654,34.600642764282021
46,2.3923705838131277,-3.2729596444955367,3.9882090273678816,0.58835607836185355,-0.80860195711775296,0.58835607836185355,-0.80860195711775296,65.383712505466036,47.574587644552082,47.574587644552082,34.616287494533957
47,2.3927999535340385,-3.2724720709731283,3.9880674470262605,0.58848430765820059,-0.80850863918702087,0.58848430765820059,-0.80850863918702087,65.368621964004831,47.579464676764786,47.579464676764786,34.631378035995176
48,2.3932479079507183,-3.2719790907571018,3.9879325356195712,0.588616212751081,-0.80841261376018514,0.588616212751081,-0.80841261376018514,65.35309540865741,47.584477105172262,47.584477105172262,34.646904591342576
49,2.3936797429808401,-3.271505372377391,3.9878038101215387,0.58874318370047407,-0.80832014922691975,0.58874318370047407,-0.80832014922691975,65.338146364622986,47.589297810509898,47.589297810509898,34.661853635377014
50,2.3941292529532068,-3.2710264723974114,3.9876814036317207,0.58887365331679065,-0.80822510504768186,0.58887365331679065,-0.80822510504768186,65.322782042933625,47.594247031177531,47.594247031177531,34.677217957066361
51,2.3945617048182908,-3.2705671375419203,3.9875648652601767,0.58899899918573229,-0.80813376303567819,0.58899899918573229,-0.80813376303567819,65.308017895820569,47.598997763621419,47.598997763621419,34.691982104179431
52,2.3950109559039441,-3.2701028249562598,3.9874542977022291,0.58912767489490125,-0.80803996353703178,0.58912767489490125,-0.80803996353703178,65.292858267292758,47.603870494073227,47.603870494073227,34.707141732707235
53,2.3954422344092516,-3.2696583736008695,3.9873492879418309,0.58925104231309999,-0.8079500041047869,0.58925104231309999,-0.8079500041047869,65.278320913292532,47.608538205561914,47.608538205561914,34.721679086707482
54,2.3958894691364088,-3.2692091277550279,3.9872499023158685,0.5893775787627108,-0.80785770383886579,0.5893775787627108,-0.80785770383886579,65.263406965180465,47.613321747335377,47.613321747335377,34.736593034819542
55,2.3963178382676755,-3.2687800346671838,3.9871557721965094,0.58949862666293751,-0.80776937869822141,0.58949862666293751,-0.80776937869822141,65.249136916251061,47.617893940297577,47.617893940297577,34.750863083748939
56,2.3967613526429328,-3.2683463097396284,3.9870669207458644,0.58962269068118434,-0.8076788239355297,0.58962269068118434,-0.8076788239355297,65.234508263388037,47.622576137508155,47.622576137508155,34.765491736611963
57,2.397185127262365,-3.2679330269814306,3.9869830310953782,0.58974108944775172,-0.80759237701762576,0.58974108944775172,-0.80759237701762576,65.220544741697893,47.627040825207409,47.627040825207409,34.779455258302107
58,2.3976232681025382,-3.2675152538542016,3.9869040754263851,0.5898623593689899,-0.80750380618276274,0.5898623593689899,-0.80750380618276274,65.206239699964868,47.631610031440395,47.631610031440395,34.793760300035117
59,2.3980408114168155,-3.2671182125316665,3.9868297969717017,0.58997779019848284,-0.80741947404835046,0.58997779019848284,-0.80741947404835046,65.192620707251493,47.63595570622671,47.63595570622671,34.807379292748507
60,2.3984719745642469,-3.2667167997540503,3.9867601079649502,0.59009595543754612,-0.80733311797315099,0.59009595543754612,-0.80733311797315099,65.17867633762495,47.64040076067397,47.64040076067397,34.821323662375022
61,2.3988816964663799,-3.2663364109043753,3.9866948212556124,0.59020810994153106,-0.80725113004519589,0.59020810994153106,-0.80725113004519589,65.165438695924564,47.644616371214013,47.644616371214013,34.834561304075429
62,2.3993043260753484,-3.265951744593492,3.9866337787547725,0.59032287086620061,-0.80716721200274677,0.59032287086620061,-0.80716721200274677,65.151890813228704,47.648926585852863,47.648926585852863,34.848109186771282
63,2.399704682567025,-3.2655883992047285,3.9865768740276808,0.59043145095041183,-0.80708779059566471,0.59043145095041183,-0.80708779059566471,65.139070172859135,47.653001524576041,47.653001524576041,34.860929827140851
64,2.4001172717208923,-3.2652208419479898,3.9865238665133691,0.59054251908669231,-0.80700652608931478,0.59054251908669231,-0.80700652608931478,65.125953315074355,47.657166683618442,47.657166683618442,34.874046684925609
65,2.4005067655764218,-3.2648749106559012,3.9864747440350441,0.59064723706802025,-0.80692988626268758,0.59064723706802025,-0.80692988626268758,65.113584134391388,47.661090782866829,47.661090782866829,34.886415865608612
66,2.4009078582505698,-3.2645248003851441,3.9864291690768336,0.59075433552496426,-0.80685148265245066,0.59075433552496426,-0.80685148265245066,65.100931505845793,47.66510115016807,47.66510115016807,34.899068494154207
67,2.4012850403988,-3.2641966350425653,3.9863872414258061,0.59085491413899005,-0.80677783214327781,0.59085491413899005,-0.80677783214327781,65.089047043780667,47.668864674025698,47.668864674025698,34.910952956219312
68,2.4016732333814468,-3.2638642872892332,3.9863485088427026,0.59095777762019086,-0.80670248857320703,0.59095777762019086,-0.80670248857320703,65.076890507020508,47.672710984789987,47.672710984789987,34.923109492979478
69,2.4020367017825932,-3.2635542304233387,3.9863132080766883,0.59105394867670402,-0.80663202871797512,0.59105394867670402,-0.80663202871797512,65.0655229753676,47.676304570285971,47.676304570285971,34.934477024632372
70,2.4024106405477443,-3.2632399523959306,3.9862807490583694,0.59115232109365479,-0.80655993780101953,0.59115232109365479,-0.80655993780101953,65.053893326558438,47.679977933222659,47.679977933222659,34.946106673441548
