i,cx,cy,d,nx,ny,ddcx,ddcy,dnxcx,dnxcy,dnycx,dnycy
36,-0.032502145939224833,-0.064970523278015085,0.024581630819588432,-0.3656270101715951,-0.9307614567830903,-0.18343897840853601,-0.72368979112773157,10.370148385174128,-7.3253853006661602,-4.0736606801613915,2.8775995249035105
37,-0.032983198052926439,-0.066113999118601469,0.025500587026425332,-0.3623071145935553,-0.93205877213558397,-0.18189930478116842,-0.72992340971000447,10.252295586485987,-7.1575201637950165,-3.9852418570013155,2.7822499564571825
38,-0.033418118101809252,-0.067135400529263992,0.026327795102024917,-0.35950762874059261,-0.93314214612636392,-0.18068159562995864,-0.7354413675788154,10.149532939349013,-7.0117942082299241,-3.9102665494178455,2.701403553019242
39,-0.033813326927256825,-0.068050030849178975,0.027073906014090814,-0.35714604015947582,-0.93404855655281971,-0.17972639536505655,-0.74033205957024673,10.059747486177494,-6.8849287517903273,-3.8464798799668873,2.6325451961051103
40,-0.034172053740853074,-0.06887233019782682,0.027748808631499464,-0.35512496774608143,-0.93481883661132148,-0.17896478417082426,-0.7446915153776541,9.9806655378875124,-6.7735960886445508,-3.7915191568828135,2.5731970712364096
41,-0.034497468121640965,-0.069614414072120892,0.028361018607557659,-0.35337142616273254,-0.93548310255809342,-0.17834626991065769,-0.74859804381795692,9.9104856519753266,-6.6751659053050458,-3.743608451320307,2.521491718428992
42,-0.034793584736715802,-0.070286558860400361,0.028918102415215276,-0.35183960078767545,-0.93606030538505858,-0.17784115235660333,-0.75211228695359589,9.8478919574224424,-6.5876800439734673,-3.7015546487406668,2.4761296931986734
43,-0.035063625006985455,-0.070897334885505911,0.029426411795739231,-0.35049166762480477,-0.93656584975408075,-0.17742537092272456,-0.75528541338448874,9.7917911751854252,-6.5095268479045574,-3.6643885947002346,2.4360646087721252
44,-0.035308383746246591,-0.071450557548959417,0.029888427775639721,-0.34930026037565276,-0.93701084737664653,-0.17707878794658224,-0.75814459910995957,9.7415339736368249,-6.4397474695670764,-3.6314631393822414,2.4006183857645853
45,-0.035530543781777481,-0.071949398679897969,0.030306569019040316,-0.34826252862338147,-0.93739704029661219,-0.17680057336907959,-0.76070459278307778,9.6968421926563373,-6.377843298193782,-3.6025788822715099,2.3695016505384219
46,-0.035732332215423782,-0.072399770979288597,0.030685340190961953,-0.34735523257819734,-0.93773362017181949,-0.17657716293704079,-0.76300065027238051,9.6570023038565385,-6.3227798103528565,-3.5771462269313234,2.3420837264674712
47,-0.035915713213433169,-0.072806837831802071,0.031028716788640685,-0.34655909134918894,-0.93802814254329514,-0.17639768382277618,-0.76506326554699489,9.6214073860173297,-6.2736817320637597,-3.5546760805682762,2.3178424418941899
48,-0.036082466734009479,-0.073175377499367034,0.03134041808366881,-0.34585683668847311,-0.93828729529704435,-0.17625271712204316,-0.7669204529208663,9.5895076904760082,-6.2297642673963081,-3.5347348427837817,2.2963185941406801
49,-0.036234206901019958,-0.073509573076007778,0.0316237352750929,-0.34523440582604781,-0.93851649161532358,-0.17613495910251165,-0.76859632635249986,9.5608382908954272,-6.1903652668944549,-3.5169657177522486,2.2771332138066156
50,-0.036372398077245988,-0.073812971370377345,0.031881489569112569,-0.34468107749354426,-0.93871984895275828,-0.17603924111648189,-0.77011086553851082,9.5350221536452757,-6.1549462141155136,-3.5010889708039681,2.2599857618467292
51,-0.036498374450985603,-0.074088717159471393,0.032116205299400305,-0.34418799984090742,-0.93890075128605344,-0.17596157539655238,-0.77148151315971092,9.5117353212251672,-6.1230453947842198,-3.4868703116322997,2.2446235605618097
52,-0.036613358160534029,-0.074339591628989565,0.032330135240995303,-0.34374798196424966,-0.93906193879610822,-0.17589900388662377,-0.77272342614413669,9.4907010500317668,-6.0942686351209652,-3.4741151766377243,2.2308353244052657
53,-0.036718471811769897,-0.074568047831779755,0.032525284158153589,-0.34335528198808862,-0.9392055953468762,-0.17584944683333639,-0.77384971908462585,9.471684208801296,-6.0682807808799675,-3.4626633598940386,2.2184453212636726
54,-0.036814746952099228,-0.074776255172392794,0.032703439870373052,-0.34300532765759073,-0.93933345793626921,-0.17581151119880009,-0.77487177378651284,9.4544843623703869,-6.0447958315172965,-3.4523826221129292,2.2073068485904002
55,-0.036903130188827314,-0.074966137840258351,0.032866200272055807,-0.34269447282527271,-0.93944691084435872,-0.17578432415563616,-0.77579950802800191,9.4389298082895206,-6.0235685349866603,-3.4431632456795933,2.1972967496043467
56,-0.036984468264591931,-0.075139405154384914,0.033014991201920509,-0.34241962075256765,-0.93954712671779672,-0.17576724967091131,-0.77664166150233593,9.424870453709822,-6.0043850416608526,-3.434910793326007,2.1883088036258216
57,-0.03705879033854844,-0.07529757582853415,0.033150956703396683,-0.34217128287936732,-0.9396375967215701,-0.17575419933876341,-0.77740864436236812,9.4120853172181356,-5.9869577304906194,-3.4274334262477217,2.1801650065238327
58,-0.037126517988735445,-0.075442012457730162,0.033275196553021053,-0.34194475723235074,-0.9397200556555706,-0.17574283754995926,-0.77810826286746848,9.4004266940364651,-5.971086471542093,-3.4206214972504227,2.1727552813592346
59,-0.037188127353522366,-0.075573942375438644,0.033388721527625148,-0.3417367740481938,-0.93979571038770637,-0.17573186142034108,-0.77874715040302789,9.3897746163474363,-5.9566065035282145,-3.4143923524681852,2.1659935965769135
60,-0.037244043153736854,-0.075694472527877504,0.033492445105561541,-0.34154438543144189,-0.9398656461326047,-0.17572010411832131,-0.77933127549900127,9.3800212516070793,-5.9433702816863931,-3.4086718744287401,2.1598031150546757
61,-0.03729468934001292,-0.075804600402316097,0.033587199858696737,-0.34136535798485346,-0.93993068487408837,-0.17570686938742103,-0.77986583879346472,9.3710752294326571,-5.9312518944908632,-3.4034003803448551,2.154120467438982
62,-0.037340479062710388,-0.075905219461583809,0.03367373907997212,-0.34119803084345657,-0.93999143812512875,-0.17569181979336482,-0.78035535685079838,9.3628593375536564,-5.9201441637331733,-3.398530071092333,2.1488935420561273
63,-0.037381796663353298,-0.075997124087941986,0.033752736768102719,-0.34104110543982125,-0.94004838407413105,-0.17567480751643261,-0.78080376955254205,9.3553073880529105,-5.9099548586011892,-3.3940214433678437,2.1440785093864365
64,-0.037418994862300041,-0.07608102826905476,0.03382480113740427,-0.34089349935943247,-0.94010192112051372,-0.17565577460831061,-0.78121457917562098,9.3483611209758184,-5.9006027316955452,-3.3898404675173421,2.139637275860502
65,-0.037452406055783989,-0.076157594385128452,0.033890498632949455,-0.34075427511244083,-0.94015239402588069,-0.17563472776756744,-0.78159100175663132,9.3419674993190611,-5.8920138427057385,-3.3859567699689515,2.1355355989960829
66,-0.037482375168849738,-0.07622742702320244,0.033950354511614211,-0.34062297800096675,-0.94019997173885994,-0.17561200931024781,-0.78193581111743038,9.3360834308723124,-5.8841268910306832,-3.3823491136760806,2.1317473780089902
67,-0.037509311598003643,-0.076291034083343243,0.034004831219941405,-0.34050034373738797,-0.9402443915890808,-0.17558883521865482,-0.78225090189482693,9.3306872479407428,-5.876906731640795,-3.3790174593441114,2.1282645024388551
68,-0.037533636850932729,-0.076348844242566202,0.03405433253185744,-0.34038770036484828,-0.94028517665670464,-0.17556682120009956,-0.78253759917873056,9.3257698413344663,-5.8703340134991642,-3.3759729805701815,2.1250887973511716
69,-0.037555822391697448,-0.076401276363431594,0.034099264274411061,-0.34028690993449479,-0.94032165716165084,-0.17554801945743126,-0.78279697430997008,9.3213297304510707,-5.8643983252534078,-3.3732356011347782,2.1222291005709
70,-0.037576309094752729,-0.076448749428440821,0.034140027841614913,-0.34019955777089239,-0.94035326388144647,-0.17553425781734289,-0.78303020281011892,9.3173619221919974,-5.8590854869167455,-3.370820868358992,2.1196909375987736
71,-0.037595349453977515,-0.076491672079029183,0.034176984212457309,-0.34012554415753515,-0.94038003711879192,-0.175525956287647,-0.78323906788432773,9.3138402370593969,-5.8543579053791666,-3.3687178095912693,2.117459526640844
72,-0.037613104350859482,-0.076530445295155777,0.034210472944796913,-0.34006397177597047,-0.94040230492058663,-0.17552286449100121,-0.78342562540623573,9.3107286809976699,-5.8501672797143112,-3.3669030358830181,2.115510681209436
73,-0.037629649792613788,-0.076565655711596958,0.034240964749518696,-0.34001207806462103,-0.94042106886765253,-0.17552341332927984,-0.78359342915766983,9.3079560652786242,-5.8464226386217177,-3.3653196308120674,2.1137917645713342
74,-0.037644420191985467,-0.076597778862705898,0.034268731253001165,-0.3399617913509233,-0.94043924866068374,-0.17552148387602731,-0.78374762298115475,9.3053890356866393,-5.8429654523376024,-3.3638289026053525,2.1121885382890357
75,-0.037657304709126677,-0.076627128010620646,0.034293997145035067,-0.33991023269402204,-0.94045788513356399,-0.17551506645692708,-0.78389064698484878,9.3029714164579271,-5.8397267831704278,-3.3623782934894075,2.1106557998129447
76,-0.037669155594427808,-0.076653965864174597,0.034317116816082696,-0.33986378195535588,-0.94047467255370698,-0.17550978460615491,-0.78402113273712049,9.3007702015676799,-5.8367767780366231,-3.3610633311573386,2.1092636389944261
77,-0.037679940999978116,-0.076678509237739084,0.03433825372205921,-0.33982086263016964,-0.94049018140610452,-0.1755045952333108,-0.78414060834718247,9.2987518937203806,-5.8340737663562203,-3.3598542040956532,2.1079858345433924
78,-0.037689921142935914,-0.076700931208824499,0.034357588460646293,-0.33978287242619554,-0.94050390727832911,-0.17550087376007373,-0.78424926304325515,9.2969242059065333,-5.8316231063436303,-3.358769258655196,2.1068340435868267
79,-0.037699116249491418,-0.076721333779405709,0.034375203903570239,-0.3397493935330248,-0.94051600177452699,-0.17549839854078228,-0.78434769199979371,9.2952755476854279,-5.8294098168744961,-3.3577995739466129,2.1057998441300017
80,-0.037707212091029257,-0.076739661796730349,0.034391001050356022,-0.33971781742920637,-0.94052740763953091,-0.17549493022790488,-0.78443668078901263,9.2937752927630726,-5.8274004140800661,-3.3569048945195816,2.1048528026692743
81,-0.03771411939517539,-0.076755981211603513,0.03440501543146858,-0.33968692278480828,-0.94053856618906795,-0.17548953306813972,-0.78451698304521644,9.2924036130426746,-5.8255713725247515,-3.3560643891282771,2.1039758327128615
82,-0.03771988240344476,-0.076770504932182043,0.034417421391118107,-0.33965587455611201,-0.94054977905452875,-0.17548177552670244,-0.78458981697823083,9.2911369570296145,-5.8238923932698254,-3.3552602095476636,2.1031521225226602
83,-0.03772461187480524,-0.076783445419561405,0.034428404707296467,-0.33962445996273899,-0.94056112305103157,-0.17547174358361525,-0.78465615688024815,9.2899598784611719,-5.8223422967132539,-3.3544843917886484,2.1023725197412455
84,-0.037728637562801801,-0.076794990149902806,0.034438170070122648,-0.33959464704192782,-0.94057188757716359,-0.17546130723631984,-0.78471602692399989,9.2888866987363503,-5.8209337261767438,-3.3537640679389753,2.1016553442687003
85,-0.03773225234438677,-0.076805299220027615,0.034446894275583173,-0.3395682206650309,-0.94058142843370285,-0.17545215072806855,-0.78476940764676861,9.2879310019689978,-5.8196789931443895,-3.3531240450390123,2.1010174991808168
86,-0.037735556978547379,-0.076814507905205748,0.034454700980893468,-0.33954532600452447,-0.94058969353724109,-0.17544456331668362,-0.78481681076685028,9.2870865988883171,-5.8185687027353366,-3.3525636826754481,2.1004565759381983
87,-0.037738593427075133,-0.07682273032326932,0.034461686964651614,-0.33952568595908406,-0.94059678320415996,-0.17543845655914611,-0.78485882266195184,9.2863430899448058,-5.8175891301647686,-3.3520761116408693,2.0999656551223564
88,-0.03774138480041437,-0.07683006250443937,0.034467931535496293,-0.33950895424139166,-0.94060282265678785,-0.17543366189382273,-0.78489598047120535,9.2856902588125436,-5.8167270873721355,-3.3516537620781226,2.0995375337735687
89,-0.037743946967777449,-0.076836584847779277,0.034473500489149364,-0.3394948087766449,-0.94060792831748408,-0.17543001141830022,-0.78492874626994258,9.2851191361059229,-5.8159710690356201,-3.3512897889551545,2.0991657910694275
90,-0.037746292539729512,-0.076842364039893668,0.034478448306879371,-0.33948297740078232,-0.94061219854682931,-0.17542736167119199,-0.78495750521196284,9.2846222176353805,-5.8153114611675134,-3.3509784365478752,2.0988450419843816
91,-0.037748432209788088,-0.07684745449649362,0.034482819517575904,-0.33947324183292144,-0.94061571222229057,-0.17542559874065872,-0.78498257007678918,9.2841934295458053,-5.8147404750049176,-3.3507150692662373,2.0985709400955956
92,-0.037750374826004712,-0.07685189938925388,0.034486649512639744,-0.33946543229051745,-0.94061853069127443,-0.17542463506705341,-0.78500418769277147,9.2838279969367772,-5.81425198049428,-3.3504960634518226,2.098340079005204
93,-0.037752126450495388,-0.0768557313106569,0.034489964900044169,-0.3394594148335362,-0.94062070234546358,-0.17542439974000748,-0.7850225466499916,9.2835222398624833,-5.8138412651444202,-3.3503185920528726,2.0981498162647885
94,-0.03775368786800052,-0.076858972548623145,0.034492783280682629,-0.33945506659576308,-0.94062227156413125,-0.17542481822311121,-0.78503778806093183,9.2832732356222092,-5.8135046502635594,-3.3501802261014721,2.0979979614223363
95,-0.037755048117872336,-0.076861634542221585,0.034495111684766738,-0.3394522188760894,-0.9406232992543293,-0.17542576429842882,-0.7850500253294308,9.2830781132453435,-5.8132387099334091,-3.3500780450997212,2.0978820963797089
96,-0.037756162962507431,-0.076863714360147328,0.034496940028738432,-0.3394504777151241,-0.94062392760283009,-0.17542690630110958,-0.78505939888416809,9.2829319370910213,-5.8130379626595987,-3.3500058718185741,2.0977974889813082
97,-0.037756867720766918,-0.076865178471968942,0.034498213082152555,-0.33944850907217156,-0.94062463804042462,-0.17542709177786495,-0.78506628499965569,9.2828194063042506,-5.8128858620251727,-3.3499433036547552,2.0977288489719004
98,-0.037757202133604048,-0.076865928741257583,0.034498860759688325,-0.33944725215681515,-0.94062509162959684,-0.17542698028285028,-0.78506990972572632,9.2827585257183554,-5.812804318918193,-3.3499073137963462,2.0976906431059135
99,-0.037757051405069089,-0.076866080039832585,0.034498953098038576,-0.33944497351758385,-0.94062591392840478,-0.17542527179320216,-0.7850714245872763,9.2827199990227012,-5.8127584722645675,-3.3498679948968975,2.0976581832000636
